00014ffd	fWindSpeedInKmPerHour
078b63f3	m_npcSoundGears
078e6321	Prescription
0795b1f9	fTyreShootoutHitChanceInterpolateTime
07984014	fAutoSaveCooldown
0798c47f	locstridDroneDockSpawnChase
079a89d2	MaterialList
079b94d7	locstridTextToDisplay1
079e4085	MaxValue
07a09d7d	bLocationLinesEnabled
07ad3261	uiMayorCashReward
07b2f1cd	fMaxInitialPropagandaDelay
07b68165	fAffiliatedCivilian
07ba4214	fMinAmbientTintAmount
07bb62ee	sGaugeMaterialName
07be6923	fGaugeLevelToPlayLostTargetBark
07bf8ffe	bCanReturn
07c159a2	Head
07c62dd8	bStaticReflectionIntensityOverride
07c6e192	textureRefillAmmo
07c6e36e	BaseWaves
07cb1a7c	AgileStep
07d18d4f	matIdleAiDisabled
07d1ee55	fOverlayHighlightDuration
07dd8b04	archScanAreaArchetype
07dde034	bCanTargetNPCs
07e32fb7	TableGameDefault
07f119ec	companiondronesettingsCompanionDroneSettings
07f29b86	HeightMax
07f3b794	locstridRewardNameOnlineHacking
07f4c6f2	KilledCivilian
07f62ff9	colorReputationNegativeColor
07f89856	VehicleDisabledPersistent
07f9433c	locstridDoubleObjectiveDisplayKillObjectiveLocId
07fd13a2	fMaxZDiff
08059188	DefaultManeuverConfig
08063b48	BrakeEffect
0806ae23	Choreography
08097575	fTargetFoundDelayMax
080d7af2	fPostHitOscillationMagnitude
0810246b	colorVehicle
08155c2f	HealthMedium
08159117	PhotoModes
0815df72	selGridCategory
0817a013	curveMoveToDropPointSpeedCurve
081eae38	TricksData
0820392b	fReverseGearRatio
0820a938	fEnvironmentSpawningStretch
08222944	locstridGunLock
0822a31c	LowUseTimeScale
08258e75	iSequenceLength
082594ab	PersonAttacked
0825d3bc	pdcfgPhotoTargetConfig
0827e8f7	EcoSystem_MaleFixer3
082ec331	bWater
082fb2ef	fFrontWheeliePitchHelperMinSpeed
08326a43	chaselevelparametersHighEscalationParams
083299bb	fVignettingMidpoint
0834897d	fShapecastFrontBaseDist
0839622b	HackedCivilianConnectionLinksSettings
083b851f	curvePercentile
083d5c0b	locstridStreetArtName
083dedf9	bOnlineMenuOnly
08488bbf	sndtpHackingRobotAlarmSoundType
0853c601	IncludeFilter
085c9480	uimenupageSettingsMenuPage
085f3625	StateStunned_LongDuration
0862763b	vec2SecureYZBackOffset
08647191	Float
0865f311	fOverrideUselessUnspawnRadius
08674ccc	CutoffParams
0869aae1	nethackingconfigProfiledAggressivePeople
086a4da1	Flank
086e6bd2	Slot2
0870da4e	fLandingDockIgnoreProbability
087459db	fReflectionIntensity
0881803b	sndReverseOverheatSound
0883e379	fDelayToEmitDemandInfoStim
0885811a	fTransitionTime
0885fbbf	fScaleAnimationTime
0889f639	fHungoverFallTimer
0894b346	selResolutionPriorityForRelations
089663a8	fReticleBlockedRange
0898cd55	fCallJammedCooldown
0899668d	SurviveGrenadeChargeUpTier3
08999c1f	fPawnColVelocityMaxRangeValue
089a7e12	CryptoModifierRule
089beea8	fSailBoatBrakingPower
08a294a4	fFollowRCoeff
08aaee41	HoldUpShopkeeper
08ade94f	fDropBaseSize
08aef99c	fMaxTimeForBagleyHackAfterMajorEvent
08b252de	fFollowREnterTime
08b258ec	uiSatelliteMaxCount
08b55764	locstridMalware1
08b5e674	fOppressedStateCivilianDensityScale
08b794e1	dronesearchpatterncollection
08bf3ada	fMapSpeed_UpperValue
08c1455d	ShellGameHead
08c60e4f	fNearbyOpInRangeTimerDuration
08cb533f	AsianLanguagesLineWrapping
08cd7810	fLineStartDelay
08d1e4a6	curveTargetSway
08d99d73	sndHackingSuccessSound
08d9be83	SDFFontThicknessMin
08dbb2f5	DelayBetweenGusts
08e345a7	BlindFire
08e3ab39	fLineThickness
08e41d9d	VehicleRCRemote
08e6985f	sndStartSFX
08e933d5	fMaxRoadBlockDist
08e94a7c	RCHijacked_Connected
08ee7263	sLMALayerName
08f55f6b	bNoCivStim
08fc0fd2	Personal
090087e6	vec3FramingAdjustmentAtMax
090c61f8	uiWantedLevelForTrigger
090d7075	PhotoTargetsToValidate
090d8114	iTracksBeforeInterlude
0910afff	iReferenceValue
